grau,nome,cidade,código,conceito,situação,siglaIes,modalidade,idPrograma,idModalidade,programaEmRede,idAreaAvaliacao,nomeAreaAvaliacao,idAreaConhecimento,nomeAreaConhecimento,idModalidadeEnsino,nomeModalidadeEnsino,idGrandeAreaConhecimento,nomeGrandeAreaConhecimento
Mestrado/Doutorado,ARTES VISUAIS,Salvador,28001010030P9,4,EM FUNCIONAMENTO,UFBA,ACADÊMICO,382,1,0,11,ARTES,91,ARTES,1,Educação Presencial,8,"LINGÜÍSTICA, LETRAS E ARTES"
Mestrado,CIÊNCIAS E SUSTENTABILIDADE,Teixeira de Freitas,29007003007P9,A,EM FUNCIONAMENTO,UFSB,ACADÊMICO,209571,1,0,45,INTERDISCIPLINAR,427,POLÍTICAS E DESENVOLVIMENTO DE TERRITÓRIOS,1,Educação Presencial,10,MULTIDISCIPLINAR
Mestrado,CIÊNCIAS FARMACÊUTICAS,salvadpr,28005015073P1,3,EM FUNCIONAMENTO,UNEB,ACADÊMICO,207610,1,0,19,FARMÁCIA,53,FARMÁCIA,1,Educação Presencial,4,CIÊNCIAS DA SAÚDE
Mestrado,ENSINO DE MATEMÁTICA,Feira de Santana,28002016021P2,A,EM FUNCIONAMENTO,UEFS,ACADÊMICO,210228,1,0,46,ENSINO,81,ENSINO,1,Educação Presencial,10,MULTIDISCIPLINAR
Mestrado,EDUCAÇÃO E FORMAÇÃO DOCENTE (PPGEDUF),Guanambi ,28005015079P0,A,EM FUNCIONAMENTO,UNEB,ACADÊMICO,210221,1,0,38,EDUCAÇÃO,86,EDUCAÇÃO,1,Educação Presencial,7,CIÊNCIAS HUMANAS
Mestrado,"GESTÃO, ORGANIZAÇÕES E SOCIEDADE",Feira de Santana,28002016022P9,A,EM PROJETO,UEFS,ACADÊMICO,210559,1,0,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",75,ADMINISTRAÇÃO,,,6,CIÊNCIAS SOCIAIS APLICADAS
Mestrado,ARTES,Cachoeira,28022017017P9,A,EM PROJETO,UFRB,ACADÊMICO,210557,1,0,11,ARTES,91,ARTES,,,8,"LINGÜÍSTICA, LETRAS E ARTES"
Mestrado Profissional/Doutorado Profissional,"HISTÓRIA DA ÁFRICA, DA DIÁSPORA E DOS POVOS INDÍGENAS",Cachoeira,28022017011P0,4,EM FUNCIONAMENTO,UFRB,PROFISSIONAL,205385,2,0,40,HISTÓRIA,72,HISTÓRIA,1,Educação Presencial,7,CIÊNCIAS HUMANAS
Mestrado Profissional,Ensino e Relações Étnico-Raciais,Teixeira de Freitas,29007003004P0,4,EM FUNCIONAMENTO,UFSB,PROFISSIONAL,207373,2,0,46,ENSINO,81,ENSINO,1,Educação Presencial,10,MULTIDISCIPLINAR
Mestrado,HISTÓRIA,Barreiras,28049012008P8,A,EM PROJETO,UFOB,ACADÊMICO,210656,1,0,40,HISTÓRIA,72,HISTÓRIA,,,7,CIÊNCIAS HUMANAS
Mestrado/Doutorado,BIOTECNOLOGIA,salvador,28001010080P6,5,EM FUNCIONAMENTO,UFBA,ACADÊMICO,204385,1,0,48,BIOTECNOLOGIA,85,BIOTECNOLOGIA,1,Educação Presencial,10,MULTIDISCIPLINAR
Mestrado Profissional,CIÊNCIAS AMBIENTAIS,serrinha,29002001002P5,3,EM FUNCIONAMENTO,IFBAIANO,PROFISSIONAL,208045,2,0,49,CIÊNCIAS AMBIENTAIS,1352,CIÊNCIAS AMBIENTAIS,1,Educação Presencial,10,MULTIDISCIPLINAR
Mestrado,CIÊNCIAS DO CUIDAR EM SAÚDE,Caetité ,28005015081P4,A,EM PROJETO,UNEB,ACADÊMICO,210560,1,0,20,ENFERMAGEM,54,ENFERMAGEM,,,4,CIÊNCIAS DA SAÚDE
Mestrado/Doutorado,DESENVOLVIMENTO REGIONAL E URBANO,Salvador,28013018001P0,4,EM FUNCIONAMENTO,UNIFACS,ACADÊMICO,411,1,0,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,78,PLANEJAMENTO URBANO E REGIONAL,1,Educação Presencial,6,CIÊNCIAS SOCIAIS APLICADAS
Mestrado,GEOGRAFIA,ilhéus,28007018079P2,A,EM PROJETO,UESC,ACADÊMICO,210742,1,0,36,GEOGRAFIA,73,GEOGRAFIA,,,7,CIÊNCIAS HUMANAS
Mestrado,FILOSOFIA,ilhéus,28007018078P6,A,EM PROJETO,UESC,ACADÊMICO,210756,1,1,33,FILOSOFIA,68,FILOSOFIA,,,7,CIÊNCIAS HUMANAS
Mestrado,ESTUDOS AFRICANOS E REPRESENTAÇÕES DA ÁFRICA,Salvador,28005015083P7,A,EM PROJETO,UNEB,ACADÊMICO,211031,1,0,45,INTERDISCIPLINAR,428,"SOCIAIS, CULTURAS E HUMANIDADES",,,10,MULTIDISCIPLINAR
